"img","label","stillImageUUID","stillImageInternalFilename","hasStandoffLinkToValue","seqnumStr","partOfTitleStr","partOf","hasRecipientLabel","hasAuthorLabel","sytemNumberStr"
"http://rdfh.ch/0801/lo8UES8QR0iuAGcFzrpcdQ","Med_Ms_p0209","JmXtwrBvSm-TdPbeVmEYPQ","IXaRlPJEaNJ-FvC6LzetPEx.jpx",,"211","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/RDE7_KU1STuDhHnGr5uu0g","Med_Ms_p0306","SbfaMttDRTuB85t8eDVHHg","IFz5SdRuVUn-FrWjSWf7PEk.jpx",,"308","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/G1eCihrzRTW-JbW-afB67Q","Med_Ms_p0031","L1Heh5AcTuG3Anwc48e9iQ","5lu0Qg1KXcB-DVx2jYdE0MF.jpx",,"33","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/yJ2uVklITkSEnm7Wz44iAQ","Med_Ms_p0083","eEbCdtBMRnuydXxaXvGDNA","Ivey09ZeN4e-FvSjkM2gRei.jpx",,"85","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/R31D9qOjS1KppApsJaS_ng","Med_Ms_p0233","u9mOGBIwTY-OfTFIuX7h8w","DVt51Ej7T51-B1dRs0kK6Im.jpx",,"235","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/ZRsXZ3owSMy0iiH0AL-9Kw","Med_Ms_p0178","j4iFTyzBRWi2A1ArHs5LYA","9YInEN0vPi-F5cc4UcPVOX.jpx",,"180","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/A6aJlJxITS20g852zyo0fg","Med_Ms_p0314","enuXYbPGRi26xjf9HNGdiQ","3ioUJrtWRKN-FtAA2yrFSSj.jpx",,"316","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/OsZGLH9PSFGFc124447t-A","Med_Ms_p0084","K5ylrnYPR6uSUZ4MaisfxA","8DzfEGdHsPG-FjIIlnyHVVJ.jpx",,"86","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/eJT2_YEqQt6PQP-b5CBQgA","Med_Ms_p0179","ZeH1Oy6YS9yIJ_8PzpSNdQ","1VjaxyGJS1G-G87itCTdJzE.jpx",,"181","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
"http://rdfh.ch/0801/Vfku31lnTYufjXPShrC9iQ","Med_Ms_p0058","ctP0Z-8dT7e9VCvg2riPKg","uCFrlyVxmQ-BSMzTlDI984.jpx",,"60","Meditationes, Annotationes, Animadversiones Theologicae & Philosophicae","http://rdfh.ch/0801/HSmk8KWbQjy6YCqnBrwYgA",,,
